8140 U+4E02 丂
8141 U+4E04 丄
8142 U+4E05 丅
8143 U+4E06 丆
8144 U+4E0F 丏
8145 U+4E12 丒
8146 U+4E17 丗
8147 U+4E1F 丟
8148 U+4E20 丠
8149 U+4E21 両
814A U+4E23 丣
814B U+4E26 並
814C U+4E29 丩
814D U+4E2E 丮
814E U+4E2F 丯
814F U+4E31 丱
8150 U+4E33 丳
8151 U+4E35 丵
8152 U+4E37 丷
8153 U+4E3C 丼
8154 U+4E40 乀
8155 U+4E41 乁
8156 U+4E42 乂
8157 U+4E44 乄
8158 U+4E46 乆
8159 U+4E4A 乊
815A U+4E51 乑
815B U+4E55 乕
815C U+4E57 乗
815D U+4E5A 乚
815E U+4E5B 乛
815F U+4E62 乢
8160 U+4E63 乣
8161 U+4E64 乤
8162 U+4E65 乥
8163 U+4E67 乧
8164 U+4E68 乨
8165 U+4E6A 乪
8166 U+4E6B 乫
8167 U+4E6C 乬
8168 U+4E6D 乭
8169 U+4E6E 乮
816A U+4E6F 乯
816B U+4E72 乲
816C U+4E74 乴
816D U+4E75 乵
816E U+4E76 乶
816F U+4E77 乷
8170 U+4E78 乸
8171 U+4E79 乹
8172 U+4E7A 乺
8173 U+4E7B 乻
8174 U+4E7C 乼
8175 U+4E7D 乽
8176 U+4E7F 乿
8177 U+4E80 亀
8178 U+4E81 亁
8179 U+4E82 亂
817A U+4E83 亃
817B U+4E84 亄
817C U+4E85 亅
817D U+4E87 亇
817E U+4E8A 亊
8180 U+4E90 亐
8181 U+4E96 亖
8182 U+4E97 亗
8183 U+4E99 亙
8184 U+4E9C 亜
8185 U+4E9D 亝
8186 U+4E9E 亞
8187 U+4EA3 亣
8188 U+4EAA 亪
8189 U+4EAF 亯
818A U+4EB0 亰
818B U+4EB1 亱
818C U+4EB4 亴
818D U+4EB6 亶
818E U+4EB7 亷
818F U+4EB8 亸
8190 U+4EB9 亹
8191 U+4EBC 亼
8192 U+4EBD 亽
8193 U+4EBE 亾
8194 U+4EC8 仈
8195 U+4ECC 仌
8196 U+4ECF 仏
8197 U+4ED0 仐
8198 U+4ED2 仒
8199 U+4EDA 仚
819A U+4EDB 仛
819B U+4EDC 仜
819C U+4EE0 仠
819D U+4EE2 仢
819E U+4EE6 仦
819F U+4EE7 仧
81A0 U+4EE9 仩
81A1 U+4EED 仭
81A2 U+4EEE 仮
81A3 U+4EEF 仯
81A4 U+4EF1 仱
81A5 U+4EF4 仴
81A6 U+4EF8 仸
81A7 U+4EF9 仹
81A8 U+4EFA 仺
81A9 U+4EFC 仼
81AA U+4EFE 仾
81AB U+4F00 伀
81AC U+4F02 伂
81AD U+4F03 伃
81AE U+4F04 伄
81AF U+4F05 伅
81B0 U+4F06 伆
81B1 U+4F07 伇
81B2 U+4F08 伈
81B3 U+4F0B 伋
81B4 U+4F0C 伌
81B5 U+4F12 伒
81B6 U+4F13 伓
81B7 U+4F14 伔
81B8 U+4F15 伕
81B9 U+4F16 伖
81BA U+4F1C 伜
81BB U+4F1D 伝
81BC U+4F21 伡
81BD U+4F23 伣
81BE U+4F28 伨
81BF U+4F29 伩
81C0 U+4F2C 伬
81C1 U+4F2D 伭
81C2 U+4F2E 伮
81C3 U+4F31 伱
81C4 U+4F33 伳
81C5 U+4F35 伵
81C6 U+4F37 伷
81C7 U+4F39 伹
81C8 U+4F3B 伻
81C9 U+4F3E 伾
81CA U+4F3F 伿
81CB U+4F40 佀
81CC U+4F41 佁
81CD U+4F42 佂
81CE U+4F44 佄
81CF U+4F45 佅
81D0 U+4F47 佇
81D1 U+4F48 佈
81D2 U+4F49 佉
81D3 U+4F4A 佊
81D4 U+4F4B 佋
81D5 U+4F4C 佌
81D6 U+4F52 佒
81D7 U+4F54 佔
81D8 U+4F56 佖
81D9 U+4F61 佡
81DA U+4F62 佢
81DB U+4F66 佦
81DC U+4F68 佨
81DD U+4F6A 佪
81DE U+4F6B 佫
81DF U+4F6D 佭
81E0 U+4F6E 佮
81E1 U+4F71 佱
81E2 U+4F72 佲
81E3 U+4F75 併
81E4 U+4F77 佷
81E5 U+4F78 佸
81E6 U+4F79 佹
81E7 U+4F7A 佺
81E8 U+4F7D 佽
81E9 U+4F80 侀
81EA U+4F81 侁
81EB U+4F82 侂
81EC U+4F85 侅
81ED U+4F86 來
81EE U+4F87 侇
81EF U+4F8A 侊
81F0 U+4F8C 侌
81F1 U+4F8E 侎
81F2 U+4F90 侐
81F3 U+4F92 侒
81F4 U+4F93 侓
81F5 U+4F95 侕
81F6 U+4F96 侖
81F7 U+4F98 侘
81F8 U+4F99 侙
81F9 U+4F9A 侚
81FA U+4F9C 侜
